"ChannelID","ChannelName","ProgrammeCount","NoDataCount"
"m3u-247-diagnosis-murder","24/7  Diagnosis Murder","120","0"
"m3u-247-100-percent-hotter","24/7 100 Percent Hotter","60","0"
"m3u-247-12-oz-mouse","24/7 12 oz Mouse","60","0"
"m3u-247-24","24/7 24","60","0"
"m3u-247-24-legacy","24/7 24 Legacy","60","0"
"m3u-247-4-blocks","24/7 4 Blocks","60","0"
"m3u-247-50-states-of-fright","24/7 50 States of Fright","60","0"
"m3u-247-666-park-avenue","24/7 666 Park Avenue","60","0"
"m3u-247-7-little-johnstons","24/7 7 Little Johnstons","60","0"
"m3u-247-7th-heaven","24/7 7th Heaven","60","0"
"m3u-247-8-simple-rules","24/7 8 Simple Rules","60","0"
"m3u-247-90-day-fianc-happily-ever-after","24/7 90 Day Fianc̩: Happily Ever After?","60","0"
"m3u-247-90-day-fiance-happily-ever-after","24/7 90 Day Fiance Happily Ever After","60","0"
"m3u-247-90-day-fiance-the-other-way","24/7 90 Day Fiance The Other Way","60","0"
"m3u-247-90-day-fiance-what-now","24/7 90 Day Fiance What Now","60","0"
"m3u-247-90210","24/7 90210","60","0"
"m3u-247-a-crime-to-remember","24/7 A Crime to Remember","60","0"
"m3u-247-a-french-village","24/7 A French Village","60","0"
"m3u-247-a-haunting","24/7 A Haunting","60","0"
"m3u-247-a-million-little-things","24/7 A Million Little Things","60","0"
"m3u-247-a-n-t-farm","24/7 A N T Farm","60","0"
"m3u-247-a-place-to-call-home","24/7 A Place To Call Home","60","0"
"m3u-247-a-series-of-unfortunate-events","24/7 A Series of Unfortunate Events","60","0"
"m3u-247-a-touch-of-cloth","24/7 A Touch of Cloth","120","0"
"m3u-247-a-useless-onmyoji-family","24/7 A Useless Onmyoji Family","60","0"
"m3u-247-ap-bio","24/7 A.P. Bio","120","0"
"m3u-247-aaahh-real-monsters","24/7 Aaahh Real Monsters","60","0"
"m3u-247-abbys","24/7 Abby's","120","0"
"m3u-247-aber-bergen","24/7 Aber Bergen","60","0"
"m3u-247-about-a-boy","24/7 About a Boy","120","0"
"m3u-247-absentia","24/7 Absentia","60","0"
