"ChannelID","ChannelName","ProgrammeCount","ScheduleGaps","ScheduleOverlaps"
"m3u-usa-abc-38-wawv-terre-haute","USA ABC 38 (WAWV) Terre Haute","110","0","55"
"m3u-247-superstar-documentary-movie","24/7 Superstar Documentary Movie","90","0","53"
"m3u-usa-cw-43-wbnx-cleveland","USA CW 43 (WBNX) Cleveland","92","0","46"
"m3u-247-gold-rush-dave-turins-lost-mine","24/7 Gold Rush: Dave Turin's Lost Mine","90","0","42"
"m3u-usa-dinos-247","USA Dinos 24/7","85","0","41"
"m3u-247-the-secret-lives-of-big-cats","24/7 The Secret Lives Of Big Cats","85","0","41"
"m3u-247-overhauling","24/7 OVERHAULING","85","0","41"
"cbs4kcnc.us","USA CBS 4 KCNC DENVER","74","0","31"
"m3u-247-tom-cruise","24/7 Tom Cruise","60","0","30"
"m3u-247-mark-ruffalo","24/7 Mark Ruffalo","60","0","30"
"m3u-samuel-l-jackson","Samuel L Jackson","60","0","30"
"m3u-usa-military-heroes","USA Military Heroes","58","0","29"
"m3u-ne-omaha-cbs-kmtv","NE | Omaha | CBS KMTV","50","0","25"
"m3u-usa-94-brazils-return-to-glory-2026","USA 94: Brazil's Return to Glory (2026)","40","0","20"
"alibi.uk","UK Alibi","37","0","2"
"olympicchannel.us","USA Olympic Channel (Team USA TV)","13","0","2"
"YesTV.ca","IL: Yes Travel Channel","60","0","2"
"historychannel.uk","UK History Channel FHD","49","0","2"
"movieplex.us","USA MOVIEPLEX","27","0","2"
"golfchannel.us","USA NBC GOLF HD","19","0","2"
"starttv.us","USA Start TV","42","0","2"
"tennischannel.us","USA Tennis Channel*","11","0","2"
"racinguk.uk","UK Racing FHD","32","0","2"
"skyaction.uk","UK SKY CINEMA ACTION FHD","23","0","2"
"skyfamily.uk","UK SKY CINEMA FAMILY","27","0","2"
"chch.ca","CA CHCH","52","0","2"
"fairchild.ca","CA FAIRCHILD","67","0","2"
"amitv.ca","CA AMI TELEVISION","71","0","2"
"OutdoorChannel.us","AU Outdoor_Channel Sydney","70","0","2"
"StarzComedy.us","ARG: Comedy Central","26","0","2"
"globalbc.ca","CA GLOBAL BC","48","0","2"
"DogTV.us","AT: DORF TV","40","0","2"
"TVASports.ca","AL: TV Diaspora","30","0","2"
"TigoSports.py","BO: TIGO SPORTS 3 HD","2","0","1"
"nSport.pl","BG: SPORT +","2","0","1"
"tooncast.br","BR: TOONCAST HD","2","0","1"
"tv4fakta.se","SE: TV4 Fakta","2","0","1"
"svtb.se","SE: SVTB SVT 24 HD","2","0","1"
"viasatmotor.se","SE: Viasat Motor","2","0","1"
"cbc.eg","AR: CBC","2","0","1"
"canaldelamusica.ar","ARG: CANAL DE LA MUSICA","2","0","1"
"epg-usa-nhl-network-a79415ac","USA NHL Network","34","1","0"
"alhayat.eg","AR: Al Hayat HD","2","0","1"
"epg-usa-nhl-network-alt-hd-e8e8f8d2","USA NHL NETWORK ALT | HD","34","1","0"
"SuperPolsat.pl","AF: SuryoyoSat","2","0","1"
"AB1.fr","BE: AB1 HD","2","0","1"
"telemax.ar","ARG: TELEMAX HD","2","0","1"
"cine.ar","ARG: CINEAR","2","0","1"
"hsn2.us","USA HSN 2","21","0","1"
"kanal5.se","SE: Kanal 5","2","0","1"
"El13.ar","IT: Elive TV Brescia","2","0","1"
"cielo.it","IT: Cielo","2","0","1"
"skyuno.it","IT: Sky Uno HD","2","0","1"
"Teleunion.do","IT: Telenord","2","0","1"
"Telefe.ar","IT: Telefoggia","2","0","1"
"boing.it","IT: Boing","2","0","1"
"teledeporte.es","ES: TELEDEPORTE FHD","2","0","1"
"mtv.es","ES: MTV SD","2","0","1"
"ten.es","ES: TEN","2","0","1"
"Ecuavisa.ec","EC: Ecuavisa Internacional","2","0","1"
"TeleCentro.do","EC: Televicentro","2","0","1"
"24Horas.es","24/7 Baskets","2","0","1"
"24kitchen.pt","PT: 24 KITCHEN FHD","2","0","1"
"trinity.tt","CAR: TRINITY","2","0","1"
"sic.pt","PT: SIC FHD","2","0","1"
"kanal10.se","SE: Kanal 10 HD","2","0","1"
"sportingtv.pt","PT: SportingTV","2","0","1"
"Telecinco.es","CH: Tele Ticino TV","2","0","1"
"cinemax.mx","MX: Cinemax FHD","2","0","1"
"Telefuturo.py","DO: Telefuturo","2","0","1"
"filmandarts.mx","MX: Film & Arts FHD","2","0","1"
"TLC.mx","MX: TLC HD","2","0","1"
"mariavision.mx","MX: MarÃ­a+VisiÃ³n Italia HD","2","0","1"
