"ChannelID","ChannelName"
"epg-au-7mate-melbourne-0bde5869","AU 7mate Melbourne"
"epg-uk-sony-movies-action-15128b0b","UK Sony Movies Action"
"epg-au-al-jazeera-eef56b7b","AU Al Jazeera"
"epg-au-tvsn-shopping-nz-70dbe8da","AU TVSN Shopping (NZ)"
"epg-uk-paramount-a3c4ded6","UK Paramount"
"epg-uk-abp-news-c530afaa","UK ABP News"
"epg-uk-life-time-hd-9d376521","UK Life Time HD"
"epg-uk-club-mtv-26b8be46","UK Club MTV"
"epg-uk-sky-replay-77c5220b","UK Sky Replay"
"epg-uk-travel-channel-11f7131f","UK Travel Channel"
"epg-uk-viceland-hd-fc28f6fa","UK Viceland HD"
"epg-ro-hbo-2-45169392","RO: HBO 2"
"epg-pk-hum-tv-56cf7e4b","PK: HUM TV"
"epg-pk-geo-news-tv-2b42ef67","PK: Geo News TV"
"epg-ire-virgin-media-one-3991e27a","IRE: VIRGIN MEDIA ONE"
"epg-uk-rt-news-hd-2f38e319","UK RT NEWS HD"
"epg-uk-disney-junior-fhd-f5ee0829","UK DISNEY JUNIOR FHD"
"epg-uk-red-bull-tv-fhd-cbb11493","UK RED BULL TV FHD"
"epg-uk-bt-sports-espn-hd-10eac35c","UK BT Sports ESPN HD"
"epg-uk-bt-sports-extra-5-hd-26a3c4db","UK BT SPORTS EXTRA 5 HD"
"epg-uk-bt-sports-extra-6-hd-8ce5eb76","UK BT SPORTS EXTRA 6 HD"
"epg-uk-bt-sports-extra-1-hd-e3639e47","UK: BT SPORTS EXTRA 1 HD"
"9Gem.au","IR: GEM AZ"
"epg-au-9life-brisbane-a80af265","AU 9Life Brisbane"
"epg-au-9life-melbourne-240189e2","AU 9Life Melbourne"
"epg-au-9life-perth-3ecfbd72","AU 9Life Perth"
"epg-au-9rush-darwin-b76bbb71","AU 9Rush Darwin"
"epg-au-9rush-hobart-9226b493","AU 9Rush Hobart"
"epg-usa-fx-west-e117a825","USA FX West"
"epg-usa-nbcsn-northwest-hd-feaf0b79","USA NBCSN NORTHWEST | HD"
"epg-la-caracol-ae225962","LA: CARACOL"
"epg-usa-abc-5-koco-oklahoma-city-f565fa57","USA ABC 5 KOCO OKLAHOMA CITY"
"epg-id-idaho-falls-telemundo-kifi-5a7b3a0c","ID | Idaho Falls | Telemundo KIFI"
"epg-usa-abc-12-ktxs-abilene-637e97eb","USA ABC 12 (KTXS) Abilene"
"aajtak.uk","UK Aaj Tak"
"aande.br","BR: A&E FHD"
"aande.ca","CA A&E"
"epg-usa-a-e-uhd-26b4d8ee","USA A&E UHD*"
"epg-usa-a-e-sd-918101f9","USA A&E SD*"
"aandemundo.ar","ARG: A&E HD"
"aandemundo.mx","MX: A&E FHD"
"aaraby.eg","IT: MTV Hits"
"ab1.fr","FR AB1 HD"
"AB1.fr","BE: AB1 HD"
"AB3.fr","BE: AB3 HD"
"epg-au-abc-brisbane-ef196451","AU ABC Brisbane"
"epg-au-abc-kids-perth-08a91877","AU ABC Kids Perth"
"epg-au-abc-kids-adelaide-6a753d7c","AU ABC KIDS Adelaide"
"epg-au-abc-kids-brisbane-30819775","AU ABC KIDS Brisbane"
"epg-au-abc-kids-canberra-a77f33d7","AU ABC KIDS Canberra"
"epg-au-abc-kids-darwin-3a42ed1e","AU ABC KIDS Darwin"
"epg-au-abc-kids-hobart-b9542125","AU ABC KIDS Hobart"
"epg-usa-abc-10-wplg-miami-7c54da27","USA ABC 10 WPLG MIAMI"
"epg-usa-abc-miami-wplg-88209768","USA ABC Miami WPLG"
"abc10wten.us","USA ABC 10 WTEN ALBANY"
"abc11whas.us","USA ABC Louisville WHAS"
"epg-usa-abc-11-wtvd-durham-e0acc476","USA ABC 11 WTVD DURHAM"
"epg-usa-raleigh-durham-fayetteville-abc-wtvd-99d1aefd","USA RALEIGH-DURHAM-FAYETTEVILLE | ABC - WTVD"
"abc13ktrktv.us","USA ABC 13 KTRK HOUSTON"
"abc13kyur.us","USA ABC 13 KYUR ANCHORAGE"
"abc13wham.us","USA ABC 13 (WHAM) Rochester"
"abc16wnep.us","USA ABC 16 WNEP SCRANTON"
